"","subplot","rugosity","rugosity_sd","vai","vai_sd"
"1","a01e",41.300654125,NA,6.841797872,0.264436107777433
"2","a01w",25.11287944,NA,7.528352118,0.311374864246867
"3","a02e",29.11777695,NA,6.853217661,0.667845813129493
"4","a02w",30.85874002,NA,5.9326900995,1.40724577952744
"5","a03e",22.085031535,NA,7.2815821415,0.113693807836345
"6","a03w",20.39510744,NA,7.413762967,0.0896511852051886
"7","a04e",45.617561375,NA,6.487774604,0.0338499129648221
"8","a04w",16.25075213,NA,7.880282918,NA
"9","b01e",22.766632075,NA,7.3630579245,0.164461779456927
"10","b01w",28.03913876,NA,7.0610438295,0.341978862222515
"11","b03e",19.021614175,NA,7.138767862,0.310515373125907
"12","b03w",29.29777322,NA,6.931232534,0.679661299801919
"13","b04e",14.042112875,NA,7.4265403075,0.109307488708143
"14","b04w",20.51157459,NA,7.5100997165,0.261656649918605
"15","c01e",8.270347396,NA,6.6277464835,0.0985962691278547
"16","c01w",9.0868264325,NA,6.77063777,0.194820701293284
"17","c02e",9.593820142,NA,6.162082191,0.0348389913029286
"18","c02w",15.89815681275,NA,6.94295897425,0.449125728880642
"19","c03e",19.47715707,NA,6.7972836665,0.201870787125631
"20","c03w",20.867779995,NA,5.982391731,0.514132786833068
"21","c04e",16.8153992,NA,6.936306436,0.886841408800691
"22","c04w",13.48702546,NA,7.2812203275,0.316738418381697
"23","d01e",7.0651033555,NA,6.1120215555,1.08508094663228
"24","d01w",9.946204269,NA,5.562668891,1.30354741677527
"25","d02e",11.603004483,NA,6.7106801495,0.212328694186841
"26","d02w",12.132420265,NA,7.048888676,0.29941681035038
"27","d03e",11.127697932,NA,5.908845758,0.137684542971899
"28","d03w",10.6723369295,NA,6.720723036,0.153504433683778
"29","d04e",4.598981646,NA,5.3711060685,0.0339093106415481
"30","d04w",3.929474028,NA,4.883736487,0.600078654723093
