"","plot","plot.side","treatment"
"1","A1","bottom","E"
"2","A1","top","W"
"3","A2","top","E"
"4","A2","bottom","W"
"5","A3","bottom","E"
"6","A3","top","W"
"7","A4","top","W"
"8","A4","bottom","E"
"9","B1","bottom","E"
"10","B1","top","W"
"11","B2","bottom","W"
"12","B2","top","E"
"13","B3","top","W"
"14","B3","bottom","E"
"15","B4","bottom","W"
"16","B4","top","E"
"17","C1","bottom","W"
"18","C1","top","E"
"19","C2","bottom","E"
"20","C2","top","W"
"21","C3","bottom","E"
"22","C3","top","W"
"23","C4","top","E"
"24","C4","bottom","W"
"25","D1","bottom","E"
"26","D1","top","W"
"27","D2","bottom","W"
"28","D2","top","E"
"29","D3","top","W"
"30","D3","bottom","E"
"31","D4","top","W"
"32","D4","bottom","E"
